station_name=Mercer St & Spring St; pagerank=0.86
station_name=Pier 40 - Hudson River Park; pagerank=0.86
station_name=South St & Whitehall St; pagerank=0.86
station_name=W 11 St & 6 Ave; pagerank=0.86
station_name=W 13 St & 5 Ave; pagerank=0.86
station_name=W 18 St & 6 Ave; pagerank=0.86
station_name=W 21 St & 6 Ave; pagerank=0.86
station_name=W 22 St & 8 Ave; pagerank=0.86
station_name=W 26 St & 8 Ave; pagerank=0.86
station_name=W 27 St & 7 Ave; pagerank=0.86
station_name=W 4 St & 7 Ave S; pagerank=0.86
station_name=Greenwich Ave & 8 Ave; pagerank=0.85
station_name=Norfolk St & Broome St; pagerank=0.85
station_name=State St & Smith St; pagerank=0.85
station_name=Broadway & W 60 St; pagerank=0.84
station_name=Centre St & Worth St; pagerank=0.84
station_name=E 27 St & 1 Ave; pagerank=0.84
station_name=E 52 St & 2 Ave; pagerank=0.84
station_name=E 9 St & Avenue C; pagerank=0.84
station_name=Hope St & Union Ave; pagerank=0.84
station_name=W 15 St & 6 Ave; pagerank=0.84
station_name=1 Ave & E 30 St; pagerank=0.83
station_name=2 Ave & E 31 St; pagerank=0.83
station_name=Avenue D & E 3 St; pagerank=0.83
station_name=Bayard St & Baxter St; pagerank=0.83
station_name=Broadway & Roebling St; pagerank=0.83
station_name=Broadway & W 49 St; pagerank=0.83
station_name=Cherry St; pagerank=0.83
station_name=Division St & Bowery; pagerank=0.83
station_name=E 12 St & 4 Av; pagerank=0.83
station_name=E 58 St &  1 Ave (NW Corner); pagerank=0.83
station_name=E 6 St & Avenue D; pagerank=0.83
station_name=Grand Army Plaza & Central Park S; pagerank=0.83
station_name=Lafayette St & E 8 St; pagerank=0.83
station_name=Mercer St & Bleecker St; pagerank=0.83
station_name=Metropolitan Ave & Bedford Ave; pagerank=0.83
station_name=Peck Slip & Front St; pagerank=0.83
station_name=South End Ave & Liberty St; pagerank=0.83
station_name=South St & Gouverneur Ln; pagerank=0.83
station_name=W 13 St & 7 Ave; pagerank=0.83
station_name=W 16 St & The High Line; pagerank=0.83
station_name=W 22 St & 10 Ave; pagerank=0.83
station_name=W 25 St & 6 Ave; pagerank=0.83
station_name=W 43 St & 6 Ave; pagerank=0.83
station_name=W 52 St & 6 Ave; pagerank=0.83
station_name=Water - Whitehall Plaza; pagerank=0.83
station_name=5 Ave & E 29 St; pagerank=0.82
station_name=6 Ave & Broome St; pagerank=0.82
station_name=9 Ave & W 18 St; pagerank=0.82
station_name=9 Ave & W 45 St; pagerank=0.82
station_name=Broadway & W 53 St; pagerank=0.82
station_name=E 25 St & 1 Ave; pagerank=0.82
station_name=E 30 St & Park Ave S; pagerank=0.82
station_name=E 55 St & Lexington Ave; pagerank=0.82
station_name=FDR Drive & E 35 St; pagerank=0.82
station_name=Lexington Ave & E 26 St; pagerank=0.82
station_name=Old Fulton St; pagerank=0.82
station_name=Pershing Square South; pagerank=0.82
station_name=University Pl & E 8 St; pagerank=0.82
station_name=W 20 St & 8 Ave; pagerank=0.82
station_name=W 24 St & 7 Ave; pagerank=0.82
station_name=W 34 St & 11 Ave; pagerank=0.82
station_name=W 38 St & 8 Ave; pagerank=0.82
station_name=W 42 St & 8 Ave; pagerank=0.82
station_name=W 44 St & 5 Ave; pagerank=0.82
station_name=W 52 St & 5 Ave; pagerank=0.82
station_name=8 Ave & W 52 St; pagerank=0.81
station_name=E 53 St & 3 Ave; pagerank=0.81
station_name=Maiden Ln & Pearl St; pagerank=0.81
station_name=Union Ave & N 12 St; pagerank=0.81
station_name=1 Ave & E 16 St; pagerank=0.8
station_name=1 Ave & E 62 St; pagerank=0.8
station_name=11 Ave & W 59 St; pagerank=0.8
station_name=Broadway & Berry St; pagerank=0.8
station_name=Canal St & Rutgers St; pagerank=0.8
station_name=Duffield St & Willoughby St; pagerank=0.8
station_name=E 20 St & FDR Drive; pagerank=0.8
station_name=E 43 St & 2 Ave; pagerank=0.8
station_name=E 45 St & 3 Ave; pagerank=0.8
station_name=E 47 St & 1 Ave; pagerank=0.8
station_name=E 72 St & York Ave; pagerank=0.8
station_name=Grand St & Havemeyer St; pagerank=0.8
station_name=Milton St & Franklin St; pagerank=0.8
station_name=Reade St & Broadway; pagerank=0.8
station_name=Avenue C & E 18 St; pagerank=0.79
station_name=Broadway & W 56 St; pagerank=0.79
station_name=Central Park S & 6 Ave; pagerank=0.79
station_name=Cliff St & Fulton St; pagerank=0.79
station_name=E 24 St & Park Ave S; pagerank=0.79
station_name=Fulton St & William St; pagerank=0.79
station_name=W 18 St & 9 Ave; pagerank=0.79
station_name=W 31 St & 7 Ave; pagerank=0.79
station_name=W 41 St & 8 Ave; pagerank=0.79
station_name=W 49 St & 8 Ave; pagerank=0.79
station_name=W 52 St & 11 Ave; pagerank=0.79
station_name=Washington Pl & Broadway; pagerank=0.79
station_name=11 Ave & W 27 St; pagerank=0.78
station_name=E 10 St & 5 Ave; pagerank=0.78
station_name=E 20 St & 2 Ave; pagerank=0.78
station_name=E 41 St & Madison Ave; pagerank=0.78
station_name=E 43 St & 5 Ave; pagerank=0.78
station_name=E 48 St & 3 Ave; pagerank=0.78
station_name=E 58 St & 1 Ave (NE Corner); pagerank=0.78
station_name=Greenwich Ave & Charles St; pagerank=0.78
station_name=Henry St & Grand St; pagerank=0.78
station_name=Perry St & Bleecker St; pagerank=0.78
station_name=W 16 St & 8 Ave; pagerank=0.78
station_name=W 17 St & 8 Ave; pagerank=0.78
station_name=W 20 St & 7 Ave; pagerank=0.78
station_name=W 26 St & 10 Ave; pagerank=0.78
station_name=W 27 St & 10 Ave; pagerank=0.78
station_name=W 33 St & 7 Ave; pagerank=0.78
station_name=W 45 St & 8 Ave; pagerank=0.78
station_name=Watts St & Greenwich St; pagerank=0.78
station_name=West Thames St; pagerank=0.78
station_name=5 Ave & E 73 St; pagerank=0.77
station_name=Bond St & Fulton St; pagerank=0.77
station_name=Clinton St & Grand St; pagerank=0.77
station_name=Court St & State St; pagerank=0.77
station_name=E 53 St & Madison Ave; pagerank=0.77
station_name=E 84 St & 1 Ave; pagerank=0.77
station_name=Graham Ave & Grand St; pagerank=0.77
station_name=Lafayette Ave & Fort Greene Pl; pagerank=0.77
station_name=Lawrence St & Willoughby St; pagerank=0.77
station_name=3 Ave & E 62 St; pagerank=0.76
station_name=E 5 St & Avenue C; pagerank=0.76
station_name=N 12 St & Bedford Ave; pagerank=0.76
station_name=Amsterdam Ave & W 66 St; pagerank=0.75
station_name=Broadway & W 51 St; pagerank=0.75
station_name=Bus Slip & State St; pagerank=0.75
station_name=Cadman Plaza West & Montague St; pagerank=0.75
station_name=Central Park West & W 76 St; pagerank=0.75
station_name=Dean St & 4 Ave; pagerank=0.75
station_name=Duane St & Greenwich St; pagerank=0.75
station_name=E 33 St & 5 Ave; pagerank=0.75
station_name=E 74 St & 1 Ave; pagerank=0.75
station_name=Nassau Ave & Russell St; pagerank=0.75
station_name=Stagg St & Union Ave; pagerank=0.75
station_name=W 53 St & 10 Ave; pagerank=0.75
station_name=W 54 St & 9 Ave; pagerank=0.75
